article_number,image number,alt,article_heading,article_url
1,1,Vice President Kamala Harris the Democratic presidential nominee speaks with Angelica Wind of Asheville as she meets with volunteers assembling emergency aid packages at a resource donation center in Charlotte on Saturday.,VP Harris visits NC amid Helene response WNC floods; 'We're here for the long haul',https://www.usatoday.com/story/news/local/elections/2024/10/05/harris-visits-nc-after-helene-floods-speaks-with-asheville-mayor/75531169007/
1,2,North Carolina Gov. Roy Cooper listens as Vice President Kamala Harris the Democratic presidential nominee speaks during a briefing with officials at a North Carolina Air National Guard facility in Charlotte on Saturday.,VP Harris visits NC amid Helene response WNC floods; 'We're here for the long haul',https://www.usatoday.com/story/news/local/elections/2024/10/05/harris-visits-nc-after-helene-floods-speaks-with-asheville-mayor/75531169007/
1,3,Vice President Kamala Harris the Democratic presidential nominee helps assemble emergency aid packages while meeting with volunteers at a resource donation center in Charlotte on Saturday.,VP Harris visits NC amid Helene response WNC floods; 'We're here for the long haul',https://www.usatoday.com/story/news/local/elections/2024/10/05/harris-visits-nc-after-helene-floods-speaks-with-asheville-mayor/75531169007/
1,4,Vice President Kamala Harris the Democratic presidential nominee is welcomed by North Carolina Gov. Roy Cooper and Deanne Criswell administrator of the U.S. Federal Emergency Management Agency at Charlotte Douglas International Airport on Saturday.,VP Harris visits NC amid Helene response WNC floods; 'We're here for the long haul',https://www.usatoday.com/story/news/local/elections/2024/10/05/harris-visits-nc-after-helene-floods-speaks-with-asheville-mayor/75531169007/
1,5,Vice President Kamala Harris the  Democratic presidential nominee flanked by North Carolina Gov. Roy Cooper speaks to the members of the media following a briefing with officials in Charlotte on Saturday.,VP Harris visits NC amid Helene response WNC floods; 'We're here for the long haul',https://www.usatoday.com/story/news/local/elections/2024/10/05/harris-visits-nc-after-helene-floods-speaks-with-asheville-mayor/75531169007/
2,1,A statue of former President Donald Trump with a raised fist greets supporters before Trump speaks at a campaign rally in Butler Pa. on October 5 2024. On July 13 2024 a gunman fired eight rounds at the former president and Republican presidential nominee during a rally in Butler. Trump was grazed by a bullet in the attack and Pennsylvania firefighter Corey Comperatore was killed as he tried to shield his family from the attack. Two other men were injured.,'I will never yield': Trump delivers defiant speech at site of his attempted assassination,https://www.usatoday.com/story/news/politics/elections/2024/10/05/trump-butler-rally-shooting/75517683007/
2,2,A worker tapes the bulletproof glass on stage before former President Donald Trump speaks at a campaign rally in Butler Pa. on October 5 2024.,'I will never yield': Trump delivers defiant speech at site of his attempted assassination,https://www.usatoday.com/story/news/politics/elections/2024/10/05/trump-butler-rally-shooting/75517683007/
2,3,Elon Musk joins former President Donald Trump on stage as Trump speaks at a campaign rally in Butler Pa. on October 5 2024.,'I will never yield': Trump delivers defiant speech at site of his attempted assassination,https://www.usatoday.com/story/news/politics/elections/2024/10/05/trump-butler-rally-shooting/75517683007/
2,4,Senator JD Vance speaks before former President Donald Trump at a campaign rally in Butler Pa. on October 5 2024. On July 13 2024 a gunman fired eight rounds at the former president and Republican presidential nominee during a rally in Butler. Trump was grazed by a bullet in the attack and Pennsylvania firefighter Corey Comperatore was killed as he tried to shield his family from the attack. Two other men were injured.,'I will never yield': Trump delivers defiant speech at site of his attempted assassination,https://www.usatoday.com/story/news/politics/elections/2024/10/05/trump-butler-rally-shooting/75517683007/
3,1,Pro-Palestinian protesters gather on the State House lawn Saturday to oppose the Israel-Hamas war and to call for an end to U.S. military aid to Israel.,'It’s appalling what’s happening': Hundreds protest Israel-Hamas war at Providence rally,https://www.usatoday.com/story/news/local/2024/10/05/pro-palestine-rally-providence-hundreds-protest-israel-hamas-war-rhode-island-state-house/75534583007/
