image number,alt,article_heading,description,article_url
image_1_1.jpg,,"Dortmund bounces off the ""two -point difference"" and wins from Bohm!MF Yasui Miyoshi, who started the sub -start, put it in the 72nd minute","The image depicts a jubilant moment on a soccer field. A group of soccer players, dressed in yellow and black uniforms, are celebrating a victory. They are standing on the lush green field, their arms raised in triumph, and their faces are lit up with joy. The players are spread out across the field, some closer to the camera and others further away, creating a sense of depth in the image. The atmosphere is one of excitement and camaraderie, a snapshot of a moment of shared achievement in the world of sports.",https://news.yahoo.co.jp/articles/dd21bf47bfd36220751750515086226659bca5ff
image_2_1.jpg,,"""The woman who can do this is popular!""""I'm a woman who is in love with a woman ...""","The image shows a woman standing in front of a blue background with the word ""Stonebriand"" visible. She is wearing a black blazer with a sheer overlay, which adds a touch of elegance to her outfit. The blazer has a collar and appears to be a professional garment. She is accessorized with a necklace and earrings, which complement her attire. Her hair is styled in a simple, neat bun, and she is smiling, giving off a friendly and approachable vibe. The lighting is soft and even, highlighting her features without harsh shadows. The overall impression is of a confident and poised individual, possibly at a formal or professional event.",https://news.yahoo.co.jp/articles/caebcade2b0e04a784d7aac4af4ea975da1bcf3b
image_3_1.jpg,,"""It's not surprising that Japanese people wear red uni."" Is Sala finally leaving Liverpool?Kubo Kubo is a successor candidate and the local news!""Completely meets the needs as a successor.""","The image shows two men on a soccer field, both wearing sports jerseys. The man on the left is wearing a red jersey with the word ""Standard"" printed on the front, and the emblem of Liverpool Football Club, which includes a Liver bird and the word ""Liverpool."" He has a beard and is raising his right arm in the air, possibly celebrating or signaling. The man on the right is wearing a blue jersey with the word ""Yasud"" printed on the front, and the emblem of a blue and white striped bird, which is the logo of the Spanish club Atlético Madrid. He is looking to his left with a slight smile. Both players appear to be in motion, suggesting they are in the middle of a game or practice. The background is blurred, but it seems to be a soccer field with spectators in the stands.",https://news.yahoo.co.jp/articles/c37b42d87a2f089884594676e2782d2bdc7cbcd1
image_4_1.jpg,,"""It's insanely effective."" Riverpool Wataru Endo's first praise for the personal highlight video of this season's first starter game! The voice of ""This performance is amazing"" and ""I'm packed with voyage play""","The image shows a male soccer player in action on a field. He is wearing a red sports jersey with white stripes and the word ""KIRIN"" printed across the chest, along with a logo that appears to be a stylized letter ""K."" The player has short dark hair and is wearing white shorts with blue stripes on the sides. He is looking to his left with a focused expression, and his posture suggests he is either running or preparing to run. The background is blurred, but it appears to be a soccer field with spectators in the stands, indicating that this is a live match or event. The lighting suggests it is daytime.",https://news.yahoo.co.jp/articles/075b44f22c52dd8b800ca78c581f9fb10250b64f
image_5_1.jpg,,"""Attack on Titan!"" The world's enthusiasm for the ""giant"" goal performance unique to the ""pro -Japanese family"" of England's FW of Japan! ""Really Anime Like"" ""Is it possible to take any other than jumps?""","The image depicts a soccer player in action on a field. The player is wearing a dark blue sports kit with a white logo on the left thigh, and a red stripe running down the side of the shorts. The player's socks are red, and they are wearing orange cleats. The player is wearing a black long-sleeved sports top and black leggings with a pattern of white lines. The player is wearing a red and white glove on their right hand. The player is in the process of kicking a soccer ball, which is visible in the foreground. The background is blurred, but it appears to be a soccer field with spectators in the stands. The lighting suggests it is daytime.",https://news.yahoo.co.jp/articles/062dd37890f1fd69ba1efbc98a443eae52ca7162
image_6_1.jpg,,"Kazu Okamoto's V -hit created by the flexible change, the fear of the end of Asano's push -out ... Yutaka Takagi's strength of G","The image captures a dynamic moment in a baseball game. At the center of the action is a player from the Giants, identifiable by the distinctive orange and black uniform. He's in the midst of a powerful swing, his body coiled with the potential energy of the impending hit. His red batting gloves add a pop of color to his uniform, contrasting with the green of the field.  Just behind him, a player from the opposing team, the Cubs, is poised in anticipation. He's clad in a blue uniform, a stark contrast to the Giants' orange and black. His baseball glove is open and ready, prepared to catch the ball if the batter misses.  The field itself is a vibrant green, a classic characteristic of baseball fields. The dirt around home plate is visible, adding to the authenticity of the scene. The players' positions and actions suggest a high-stakes moment in the game, with both teams fully engaged in the play.",https://news.yahoo.co.jp/articles/657be492e8508539afcd8baf05aa062393b8e467
image_7_1.jpg,,"""The worst season ended."" On the same day of the Dodgers champion ... Otani Kosu's army lost 96.Sadly lamented from the reporter ""I was ashamed nationwide""","The image depicts a group of baseball players on a field, likely during a game or practice session. The players are dressed in red and gray uniforms, with the team name ""Angels"" visible on the back of their jerseys. The uniforms consist of a red cap with a white logo, a red undershirt, and gray pants with red accents. Some players are wearing protective gear, such as helmets and chest protectors.  In the foreground, a player is holding a baseball glove, which is a common piece of equipment used in the sport. The player is looking down at the glove, possibly adjusting it or preparing for a play. The other players are standing around, engaged in conversation or observing the game. The field is well-maintained, with neatly trimmed grass and clear boundary lines.  The background shows a crowd of spectators in the stands, indicating that this is a professional or semi-professional game. The spectators are blurred, suggesting that the focus of the image is on the players and their actions on the field. The lighting suggests it is daytime, and the shadows indicate that the sun is at a low angle, possibly early morning or late afternoon.",https://news.yahoo.co.jp/articles/50d2411605b2014441cdfeed6ada6b76008a2553
image_8_1.jpg,,"""Tell me where you can buy it!"" Mrs. Mrs. Mrs. Mrs. Mrs. Mrs. Mrs. Mrs. Mrs. Mrs. Boiled, Rainless design ""I'm good to show my back.""","The image depicts two individuals, a man and a woman, standing together and smiling. The man is on the left, and the woman is on the right. They are both holding a small, brown and white dog. The man is wearing a blue shirt with the word ""WEST"" printed on it, and the woman is wearing a denim jacket with the letters ""AN"" visible. They appear to be at an event, as there are other people in the background, and a large stadium can be seen in the background with the text ""NHL WEST DIVISION"" visible. The image has a watermark with the text ""shoeiohtani"" and a circular icon with a white background and a design that resembles a stylized animal. The overall atmosphere of the image is cheerful and social.",https://news.yahoo.co.jp/articles/6415a8ddd2e1fdac620729a6ea177852cba43f0c
image_9_1.jpg,,"""Taki is deployed!?"" ""What are you doing?"" Monaco Takumi Monaco shows off the ""Barrier Mystery"" before the final episode of ""Magic Battle""!Some voices say ""grass""","The image depicts a male soccer player in the midst of a game. He is wearing a dark blue and white striped jersey with the number 10 visible on the back. The jersey also features a logo on the left chest area. The player has dark hair, styled with a headband, and is looking to his left with a focused expression. His right hand is raised to his mouth, as if he is calling out or communicating with a teammate. The background is blurred, but it appears to be a soccer field with spectators in the stands, suggesting that this is a professional match. The lighting suggests it is daytime.",https://news.yahoo.co.jp/articles/308e53c35a51365479c59ba993f0f5053a8a6ab1
image_10_1.jpg,,"A 24 -year -old hero who also has ""overseas transfer"", ""Stop time"" former colleague of Kubo Kohei [Jeff Chiba ""to J1 J1 for the first time in 16 years] (3)"," The image depicts two individuals in a celebratory embrace. They appear to be male, with one wearing a sports jersey with the number 67 and the name ""MAL"" visible on the back. The jersey is predominantly beige with blue and white accents. The other individual is wearing a similar jersey, but the number and name are not visible. Both individuals are smiling and seem to be in a moment of joy or triumph, possibly after a sports event. The background is blurred, but it suggests an outdoor setting with a yellow and red banner, which could indicate a sports event or a similar gathering. The lighting is bright, and the focus is on the two individuals, making the background indistinct.",https://news.yahoo.co.jp/articles/4297733c7d25cf41c9dddd395e3bc97b2982ea7d
