article_number,image number,alt,article_heading
1,1,Indiatimes,5 plants in Maharaj star Shalini Pandey's garden that you can add to your home
2,1,squirrel,Gardening tips: 10 tips to keep squirrels out of your garden
3,1,rose,Gardening tips: A beginners guide to take care of roses
4,1,Neelkanth Bird: A Spiritual Spectacle on Dussehra 2023,7 simple secrets to attract birds to your home garden
5,1,garden,3 ways to create a personal garden in a metro city with limited space
6,1,Begonia,Tired of monsoon stickiness? Here are 7 indoor plants to keep excess humidity away 
7,1,Indiatimes,Gardening tips: 7 hacks to monsoon-proof your garden
8,1,Indiatimes,7 easy-to-grow fruits and veggies to enjoy fresh produce right at your doorstep
9,1,Indiatimes,Transform your office desk into a mini oasis with these 6 low-maintenance plants
10,1,monstera,5 surprising facts about Monstera plant you didn't know
